DBN,School Name,School Type,Total Parent Response Rate (%),Total Teacher Response Rate (%),Total Student Response Rate (%),class
09X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",HS,25,67,72.0,False
09X241,"Urban Assembly School for Applied Math and Science, The",MS/HS,58,98,75.0,True
09X250,Eximius College Preparatory Academy: A College Board School,HS,57,100,92.0,False
09X252,Mott Hall Bronx High School,HS,13,87,71.0,True
09X260,Bronx Center for Science and Mathematics,HS,61,84,97.0,False
09X263,Validus Preparatory Academy: An Expeditionary Learning School,HS,26,50,61.0,True
09X276,Leadership Institute,HS,58,73,61.0,False
09X297,Morris Academy for Collaborative Studies,HS,28,83,91.0,True
09X303,I.S. X303 Leadership & Community Service,MS,77,100,93.0,False
09X313,I.S. 313 School of Leadership Development,MS,34,60,86.0,True
09X323,Bronx Writing Academy,MS,35,83,77.0,True
09X324,Bronx Early College Academy for Teaching & Learning,MS/HS,41,82,89.0,True
09X325,Urban Science Academy,MS,42,94,96.0,True
09X327,Comprehensive Model School Project M.S. 327,MS/HS,71,86,84.0,False
09X328,New Millennium Business Academy Middle School,MS,66,94,95.0,False
09X329,DreamYard Preparatory School,HS,37,100,87.0,False
09X339,I.S. 339,MS,61,98,93.0,True
09X365,Academy for Language and Technology,HS,49,100,92.0,False
09X403,Bronx International High School,HS,36,84,95.0,False
09X404,School for Excellence,HS,90,94,87.0,True
09X412,Bronx High School of Business,HS,5,100,91.0,True
09X413,Bronx High School for Medical Science,MS/HS,36,100,89.0,True
09X414,Jonathan Levin High School for Media and Communications,HS,7,55,65.0,True
09X443,THE FAMILY SCHOOL,ES,55,70,,True
09X449,GRANT AVENUE ELEMENTARY SCHOOL,ES,82,97,,False
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,MS,77,97,100.0,False
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,ES,84,78,,True
09X505,"Bronx School for Law, Government and Justice",MS/HS,44,91,87.0,True
09X517,Frederick Douglass Academy III Secondary School,MS/HS,83,82,62.0,True
09X525,Bronx Leadership Academy High School,HS,32,86,79.0,True
09X543,High School for Violin and Dance,HS,44,96,67.0,True
09X555,Mount Eden Children's Academy,ECC,96,100,,False
09X564,Claremont International HS,HS,67,100,100.0,False
09X568,Young Women's Leadership School of the Bronx,MS,72,100,100.0,False
10X003,P.S. 3 Raul Julia Micro Society,ES/MS,64,92,95.0,True
10X007,P.S. 007 Kingsbridge,ES,91,98,,False
10X008,P.S. 008 Issac Varian,ES,49,77,,False
10X009,P.S. 9 Ryer Avenue Elementary School,ES,64,100,,True
10X015,P.S. X015 Institute for Environmental Learning,ES/MS,71,100,99.0,False
10X020,P.S. 20 P.O.George J. Werdan III,ES/MS,57,61,88.0,True
10X023,P.S. 023 The New Children's School,ES,44,100,,True
10X024,P.S. 024 Spuyten Duyvil,ES,45,54,,True
10X032,P.S. 032 Belmont,ES,90,97,,False
10X033,P.S. 033 Timothy Dwight,ES,97,95,,True
10X037,P.S. X037 - Multiple Intelligence School,ES/MS,46,98,96.0,False
10X045,Thomas C. Giordano Middle School 45,MS,21,36,94.0,True
10X046,P.S. 046 Edgar Allan Poe,ES,63,92,,False
10X051,P.S. 051 Bronx New School,ES,77,75,,False
10X054,P.S. / I.S. 54,ES,67,100,,True
10X056,P.S. 056 Norwood Heights,ES,88,100,,False
10X059,P.S. 059 The Community School of Technology,ES,100,98,,False
10X080,J.H.S. 080 The Mosholu Parkway,MS,48,93,77.0,True
10X081,P.S. 081 Robert J. Christen,ES,100,100,,False
10X085,P.S. 085 Great Expectations,ES,49,59,,True
10X086,P.S. 086 Kingsbridge Heights,ES,62,97,98.0,False
10X091,P.S. 091 Bronx,ES,87,73,,True
10X094,P.S. 094 Kings College School,ES,57,81,,False
10X095,P.S. 095 Sheila Mencher,ES/MS,81,46,97.0,True
10X118,J.H.S. 118 William W. Niles,MS,77,83,98.0,True
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),MS/HS,37,87,87.0,True
10X159,P.S. 159 Luis Munoz Marin Biling,ES,92,100,,False
10X205,P.S. 205 Fiorello Laguardia,ES,98,100,,False
10X206,I.S. 206 Ann Mersereau,MS,100,83,85.0,False
10X207,P.S. 207,ECC,69,77,,False
10X209,P.S. 209,ECC,98,100,,False
10X213,Bronx Engineering and Technology Academy,HS,16,68,34.0,True
10X225,Theatre Arts Production Company School,MS/HS,38,66,74.0,True
10X226,P.S. 226,ES,53,72,,True
10X228,Jonas Bronck Academy,MS,69,81,96.0,False
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",HS,14,88,66.0,True
10X243,West Bronx Academy for the Future,MS/HS,20,92,75.0,True
10X244,The New School for Leadership and Journalism,MS,33,46,83.0,False
10X246,P.S. 246 Poe Center,ES,47,82,,False
10X254,I.S. 254,MS,30,88,91.0,True
10X268,Kingsbridge International High School,HS,66,96,93.0,False
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",ES/MS,62,97,96.0,False
10X280,P.S./M.S. 280 Mosholu Parkway,ES/MS,58,78,78.0,False
10X284,Bronx School of Law and Finance,HS,24,92,66.0,True
10X291,P.S. 291,ES,100,95,,False
10X306,P.S. 306,ES,67,60,,True
10X307,Luisa Piñeiro Fuentes School of Science and Discovery,ES,100,96,,False
10X308,Bronx Dance Academy School,MS,81,100,99.0,True
10X310,P.S. 310 Marble Hill,ES,75,95,,False
10X315,P.S. 315 Lab School,ES/MS,77,95,100.0,False
10X319,Providing Urban Learners Success In Education High School,HST,4,85,69.0,False
10X331,The Bronx School of Young Leaders,MS,68,100,99.0,False
10X340,P.S. 340,ES,94,100,100.0,False
10X342,International School for Liberal Arts,MS/HS,61,89,87.0,False
10X344,Ampark Neighborhood,ES,76,100,,False
10X360,P.S. 360,ES,84,95,100.0,False
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,MS,70,92,92.0,False
10X368,In-Tech Academy (M.S. / High School 368),MS/HS,34,93,85.0,True
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),HS,71,100,88.0,False
10X382,"Elementary School for Math, Science, and Technology",ES,95,100,,False
10X386,School for Environmental Citizenship,ES,88,98,,False
10X390,M.S. 390,MS,91,82,98.0,True
10X391,The Angelo Patri Middle School,MS,43,94,77.0,True
10X396,P.S. 396,ES,64,97,,False
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),HS,19,90,72.0,False
10X433,High School for Teaching and the Professions,HS,25,63,57.0,True
10X434,Belmont Preparatory High School,HS,42,83,85.0,True
10X437,Fordham High School for the Arts,HS,33,62,71.0,True
10X438,Fordham Leadership Academy for Business and Technology,HS,28,94,65.0,False
10X439,Bronx High School for Law and Community Service,HS,45,100,91.0,True
10X440,DeWitt Clinton High School,HS,7,54,58.0,True
10X442,"Celia Cruz Bronx High School of Music, The",HS,34,97,81.0,True
10X445,Bronx High School of Science,HS,32,88,95.0,True
10X447,CRESTON ACADEMY,MS,100,100,96.0,False
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,MS,43,87,97.0,True
10X475,John F. Kennedy High School,HS,11,100,70.0,True
10X477,Marble Hill High School for International Studies,HS,61,93,97.0,True
10X503,Walton Yabc,YABC,13,95,53.0,False
10X504,Kennedy Yabc,YABC,51,83,50.0,True
10X524,Crotona International High School,HS,24,92,91.0,False
10X546,Bronx Theatre High School,HS,98,93,90.0,False
10X549,Discovery High School,HS,10,73,48.0,True
10X565,High School for Energy and Technology,HS,70,100,95.0,False
10X660,Grace Dodge Career and Technical Education High School,HS,14,70,72.0,True
10X667,Grace Dodge Yabc,YABC,30,100,93.0,False
10X696,High School of American Studies at Lehman College,HS,36,100,96.0,False
11X016,P.S. 016 Wakefield,ES,34,100,,True
11X019,P.S. 019 Judith K. Weiss,ES/MS,57,97,100.0,False
11X021,P.S. 021 Philip H. Sheridan,ES,54,80,,False
11X041,P.S. 041 Gun Hill Road,ES,88,90,,True
11X068,P.S. 068 Bronx,ES,66,97,,True
11X076,P.S. 076 The Bennington School,ES,75,86,,True
11X078,P.S. 078 Anne Hutchinson,ES,71,93,,True
11X083,P.S. 083 Donald Hertz,ES/MS,67,100,97.0,False
11X087,P.S. 087 Bronx,ES,62,79,,True
11X089,P.S. 089 Bronx,ES/MS,37,92,76.0,False
11X096,P.S. 096 Richard Rodgers,ES,84,100,,False
11X097,P.S. 097 Bronx,ES,49,71,,False
11X103,P.S. 103 Hector Fontanez,ES,52,86,,False
11X105,P.S. 105 Sen Abraham Bernstein,ES,51,57,,True
11X106,P.S. 106 Parkchester,ES,77,100,,False
11X108,P.S. 108 Philip J. Abinanti,ES,54,78,,True
11X111,P.S. 111 Seton Falls,ES,19,59,,True
11X112,P.S. 112 Bronxwood,ES,57,100,,False
11X121,P.S. 121 Throop,ES,85,100,,False
11X127,J.H.S. 127 The Castle Hill,MS,30,55,88.0,True
11X142,MS 142 John Philip Sousa,MS,8,68,69.0,True
11X144,J.H.S. 144 Michelangelo,MS,38,90,92.0,False
11X153,P.S. 153 Helen Keller,ES,63,100,,False
11X160,P.S. 160 Walt Disney,ES,27,100,,False
11X169,BAYCHESTER ACADEMY,ES,70,90,,False
11X175,P.S. 175 City Island,ES/MS,52,95,99.0,True
11X178,P.S. 178 - Dr. Selman Waksman,ES,74,97,,True
11X180,M.S. 180 Dr. Daniel Hale Williams,MS,80,74,99.0,False
11X181,I.S. 181 Pablo Casals,MS,64,74,96.0,True
11X189,Cornerstone Academy for Social Action,ES,65,87,,False
11X194,PS/MS 194,ES/MS,72,91,97.0,True
11X249,Bronx Health Sciences High School,HS,20,91,88.0,True
11X253,Bronx High School for Writing and Communication Arts,HS,14,92,40.0,True
11X265,Bronx Lab School,HS,38,88,90.0,True
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,MS/HS,29,77,74.0,True
11X272,Globe School for Environmental Research,MS,37,88,89.0,True
11X275,High School of Computers and Technology,HS,41,89,96.0,False
11X287,The Forward School,MS,53,89,91.0,True
11X288,Collegiate Institute for Math and Science,HS,57,88,91.0,False
11X289,The Young Scholars Academy of The Bronx,MS,17,61,68.0,True
11X290,Bronx Academy of Health Careers,HS,25,90,77.0,True
11X299,Astor Collegiate Academy,HS,31,100,87.0,True
11X322,Aspire Preparatory Middle School,MS,25,45,95.0,True
11X326,Bronx Green Middle School,MS,66,100,89.0,False
11X370,School of Diplomacy,MS,8,100,75.0,True
11X415,Christopher Columbus High School,HS,5,78,76.0,True
11X417,C Columbus Hs Yabc,YABC,87,85,69.0,False
11X418,Bronx High School for the Visual Arts,HS,15,77,56.0,True
11X455,Harry S Truman High School,HS,6,57,50.0,True
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),MS,87,53,86.0,False
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,MS,45,89,97.0,False
11X498,PS/MS 11X498 - VAN NEST ACADEMY,ES/MS,62,97,89.0,False
11X508,Bronxdale High School,HS,44,95,80.0,True
11X509,High School for Language and Innovation,HS,75,88,95.0,False
11X513,New World High School,HS,60,70,94.0,False
11X514,The Bronxwood Preparatory Academy,HS,26,64,76.0,True
11X529,One World Middle School at Edenwald,MS,65,100,99.0,False
11X532,Baychester Middle School,MS,20,88,79.0,True
11X541,Global Enterprise High School,HS,17,42,77.0,True
11X542,Pelham Preparatory Academy,HS,65,89,93.0,False
11X544,High School for Contemporary Arts,HS,23,70,51.0,True
11X545,Bronx Aerospace High School,HS,25,70,73.0,True
11X556,Bronx Park Middle School,MS,77,100,98.0,False
11X566,Pelham Gardens Middle School,MS,99,100,96.0,False
11X567,Linden Tree Elementary School,ECC,95,88,,False
12X006,P.S. 006 West Farms,ES,60,91,,True
12X044,P.S. 044 David C. Farragut,ES,72,100,,True
12X047,P.S. 047 John Randolph,ES,82,83,,False
12X050,P.S. 050 Clara Barton,ES,65,81,,False
12X057,P.S. 057 Crescent,ES,67,100,,False
12X061,P.S. 061 Francisco Oller,ES,41,63,,False
12X066,P.S. 066 School of Higher Expectations,ES,93,83,,True
12X067,P.S. 067 Mohegan School,ES,47,55,,True
12X092,P.S. 092 Bronx,ES,76,95,,True
12X098,J.H.S. 098 Herman Ridder,MS,58,97,89.0,True
12X102,P.S. 102 Joseph O. Loretan,ES,9,23,,True
12X129,P.S. 129 Twin Parks Upper,MS,61,95,91.0,False
12X134,P.S. 134 George F. Bristow,ES,67,98,,False
12X150,P.S. 150 Charles James Fox,ES,70,91,,False
12X190,E.S.M.T- I.S. 190,MS,83,61,97.0,True
12X195,P.S. 195,ES,59,44,,True
12X196,P.S. 196,ES,72,83,,False
12X211,P.S. 211,ES/MS,86,88,98.0,False
12X212,P.S. 212,ES/MS,39,70,91.0,True
12X214,P.S. 214,ES/MS,67,94,100.0,True
12X217,School of Performing Arts,MS,66,91,84.0,True
12X242,Mott Hall V,MS/HS,81,100,85.0,False
12X245,New Day Academy,MS/HS,67,100,86.0,True
12X248,"Metropolitan High School, The",HS,27,89,71.0,False
12X251,Explorations Academy,HS,27,60,75.0,True
12X262,Performance Conservatory High School,HS,61,100,86.0,True
12X267,Bronx Latin,MS/HS,51,100,97.0,False
12X271,East Bronx Academy for the Future,MS/HS,15,51,49.0,True
12X273,Frederick Douglass Academy V. Middle School,MS,78,100,97.0,False
12X278,Peace and Diversity Academy,HS,99,95,98.0,False
12X286,Fannie Lou Hamer Middle School,MS,19,100,84.0,False
12X300,The School of Science and Applied Learning,ES,51,90,,False
12X316,Kappa III,MS,63,96,89.0,False
12X318,"I.S. X318 Math, Science & Technology Through Arts",MS,76,100,98.0,False
12X341,Accion Academy,MS,65,100,91.0,False
12X372,Urban Assembly School for Wildlife Conservation,MS/HS,30,84,95.0,False
12X383,Emolior Academy,MS,93,79,91.0,True
12X384,Entrada Academy,MS,36,45,91.0,True
12X388,Pan American International High School at Monroe,HS,68,100,90.0,False
12X428,Learning To Work Yabc At Monroe Academy,YABC,42,86,44.0,False
12X446,Arturo A. Schomburg Satellite Academy Bronx,HST,53,100,55.0,True
12X463,URBAN SCHOLARS COMMUNITY SCHOOL,ES,47,97,,False
12X478,THE CINEMA SCHOOL,HS,35,89,86.0,False
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,HS,11,92,59.0,True
12X480,Bronx Regional High School,HST,25,82,68.0,False
12X511,Bronx Envision Academy,HS,47,93,86.0,False
12X521,The Metropolitan Soundview High School,HS,36,53,55.0,False
12X531,Archer Elementary School,ECC,58,96,,False
12X536,PS 536,ECC,63,86,,False
12X550,High School of World Cultures,HS,89,89,75.0,False
12X682,Fannie Lou Hamer Freedom High School,HS,62,91,68.0,False
12X684,Wings Academy,HS,38,92,80.0,True
12X690,Monroe Academy for Business/Law,HS,15,86,87.0,True
12X691,Bronx Little School,ES,63,84,,False
12X692,Monroe Academy for Visual Arts & Design,HS,14,71,81.0,True
13K003,P.S. 003 The Bedford Village,ES,71,95,,False
13K008,P.S. 008 Robert Fulton,ES,53,57,96.0,True
13K009,P.S. 009 Teunis G. Bergen,ES,69,91,,False
13K011,P.S. 011 Purvis J. Behan,ES,68,67,,False
13K020,P.S. 020 Clinton Hill,ES,69,100,,False
13K044,P.S. 044 Marcus Garvey,ES,49,76,,False
13K046,P.S. 046 Edward C. Blum,ES,86,97,,False
13K054,P.S. 054 Samuel C. Barnes,ES,39,96,,False
13K056,P.S. 056 Lewis H. Latimer,ES,97,86,,False
13K067,P.S. 067 Charles A. Dorsey,ES,75,83,,True
13K093,P.S. 093 William H. Prescott,ES,68,88,,False
13K103,Satellite Three,MS,70,92,99.0,False
13K113,M.S. 113 Ronald Edmonds Learning Center,MS,29,100,87.0,True
13K133,P.S. 133 William A. Butler,ES,77,93,,False
13K256,P.S. 256 Benjamin Banneker,ES,79,81,,False
13K265,Dr. Susan S. McKinney Secondary School of the Arts,MS/HS,24,62,70.0,True
13K266,M.S. K266 - Park Place Community Middle School,MS,28,100,90.0,False
13K270,P.S. 270 Johann DeKalb,ES,39,92,,True
13K282,P.S. 282 Park Slope,ES/MS,35,39,97.0,True
13K287,P.S. 287 Bailey K. Ashford,ES,88,75,,False
13K301,Satellite East Middle School,MS,64,100,92.0,True
13K305,P.S. 305 Dr. Peter Ray,ES,26,68,,True
13K307,P.S. 307 Daniel Hale Williams,ES,52,72,,False
13K313,Satellite West Middle School,MS,47,45,82.0,True
13K350,Urban Assembly High School of Music and Art,HS,21,52,64.0,True
13K351,The Urban Assembly Unison School,MS,60,100,100.0,True
13K412,"Brooklyn Community High School of Communication, Arts and Media",HS,30,89,94.0,True
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",HS,20,81,78.0,True
13K430,Brooklyn Technical High School,HS,35,89,91.0,True
13K439,Brooklyn International High School,HS,85,100,95.0,False
13K483,The Urban Assembly School for Law and Justice,HS,53,100,93.0,False
13K492,Academy of Arts and Letters,ES/MS,69,81,91.0,False
13K499,ACORN Community High School,HS,21,91,59.0,True
13K509,Freedom Academy High School,HS,16,90,78.0,True
13K527,Urban Assembly Institute of Math and Science for Young Women,MS/HS,14,72,73.0,True
13K553,Brooklyn Academy High School,HST,29,83,65.0,False
13K571,M.S. 571,MS,45,33,93.0,True
13K575,Bedford Stuyvesant Preparatory High School,HST,34,100,95.0,False
13K595,Bedford Academy High School,HS,65,95,90.0,False
13K596,MS 596 Peace Academy,MS,40,87,97.0,True
13K605,George Westinghouse Career and Technical Education High School,HS,34,94,77.0,True
13K616,Brooklyn High School for Leadership and Community Service,HST,14,88,62.0,False
13K657,Downtown Brooklyn Yabc,YABC,11,100,58.0,False
13K670,Benjamin Banneker Academy,HS,23,67,82.0,True
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",HS,26,82,85.0,True
13K691,FORT GREENE PREPARATORY ACADEMY,MS,47,100,97.0,False
14K016,P.S. 016 Leonard Dunkly,ES,95,96,,False
14K017,P.S. 017 Henry D. Woodworth,ES,57,76,,False
14K018,P.S. 018 Edward Bush,ES,96,89,,False
14K019,P.S. 019 Roberto Clemente,ES,52,88,,False
14K023,P.S. 023 Carter G. Woodson,ES,93,96,,False
14K031,P.S. 031 Samuel F. Dupont,ES,83,85,,False
14K034,P.S. 034 Oliver H. Perry,ES,87,84,,False
14K050,J.H.S. 050 John D. Wells,MS,59,97,95.0,True
14K059,P.S. 059 William Floyd,ES,85,36,,True
14K071,Juan Morel Campos Secondary School,MS/HS,44,86,78.0,False
14K084,P.S. 084 Jose De Diego,ES,55,74,,False
14K110,P.S. 110 The Monitor,ES,93,100,,False
14K120,P.S. 120 Carlos Tapia,ES,90,69,,False
14K126,John Ericsson Middle School 126,MS,98,88,98.0,False
14K132,P.S. 132 The Conselyea School,ES,75,44,,False
14K147,P.S. 147 Isaac Remsen,ES,100,100,,False
14K157,P.S. 157 Benjamin Franklin,ES/MS,79,79,96.0,False
14K196,P.S. 196 Ten Eyck,ES,74,94,,False
14K250,P.S. 250 George H. Lindsay,ES,91,63,,False
14K257,P.S. 257 John F. Hylan,ES,69,100,,False
14K297,P.S. 297 Abraham Stockton,ES,79,100,,True
14K318,I.S. 318 Eugenio Maria De Hostos,MS,25,76,81.0,False
14K319,P.S. 319,ECC,100,92,,False
14K322,Foundations Academy,HS,17,46,59.0,True
14K330,The Urban Assembly School for the Urban Environment,MS,21,89,61.0,False
14K380,P.S. 380 John Wayne Elementary,ES,100,100,,False
14K414,Brooklyn Arbor Elementary School,ECC,76,93,,False
14K449,"Brooklyn Latin School, The",HS,24,86,94.0,False
14K454,Green School: An Academy for Environmental Careers,HS,28,38,52.0,True
14K474,PROGRESS High School for Professional Careers,HS,33,74,56.0,True
14K477,School for Legal Studies,HS,21,97,54.0,True
14K478,"The High School for Enterprise, Business and Technology",HS,14,76,39.0,True
14K488,Brooklyn Preparatory High School,HS,27,85,71.0,True
14K558,Williamsburg High School for Architecture and Design,HS,58,100,93.0,False
14K561,Williamsburg Preparatory School,HS,32,96,83.0,False
14K577,Conselyea Preparatory School,MS,88,97,99.0,False
14K582,M.S. 582,MS,39,100,98.0,True
14K586,Lyons Community School,MS/HS,26,98,75.0,True
14K610,Automotive High School,HS,9,74,44.0,True
14K614,Young Women's Leadership School of Brooklyn,MS/HS,73,100,91.0,False
14K632,Frances Perkins Academy,HS,32,88,86.0,True
14K685,El Puente Academy for Peace and Justice,HS,33,100,83.0,False
14K923,Automotive High School Yabc,YABC,2,50,68.0,True
15K001,P.S. 001 The Bergen,ES,38,64,,False
15K010,"Magnet School of Math, Science and Design Technology",ES,51,78,,False
15K015,P.S. 015 Patrick F. Daly,ES,87,90,,False
15K024,P.S. 024,ES,66,95,,False
15K029,P.S. 029 John M. Harrigan,ES,73,85,,False
15K032,P.S. 032 Samuels Mills Sprole,ES,74,93,,False
15K038,P.S. 038 The Pacific,ES,68,56,,True
15K039,P.S. 039 Henry Bristow,ES,65,100,,False
15K051,M.S. 51 William Alexander,MS,53,98,97.0,False
15K058,P.S. 058 The Carroll,ES,58,90,,False
15K088,J.H.S. 088 Peter Rouget,MS,41,53,91.0,False
15K094,P.S. 094 The Henry Longfellow,ES,76,68,,True
15K107,P.S. 107 John W. Kimball,ES,87,81,,False
15K124,P.S. 124 Silas B. Dutcher,ES,46,54,,False
15K130,P.S. 130 The Parkside,ES,83,62,,False
15K131,P.S. 131 Brooklyn,ES,49,96,,False
15K136,I.S. 136 Charles O. Dewey,MS,28,100,93.0,True
15K146,P.S. 146,ES,58,100,,False
15K154,Magnet School for Science & Technology,ES,56,94,,False
15K169,P.S. 169 Sunset Park,ES,64,76,,False
15K172,P.S. 172 Beacon School of Excellence,ES,92,98,,False
15K230,P.S. 230 Doris L. Cohen,ES,69,94,,False
15K261,P.S. 261 Philip Livingston,ES,46,72,,False
15K295,P.S. 295,ES,82,97,,False
15K321,P.S. 321 William Penn,ES,43,77,,False
15K418,P.S. 372 -The Children's School,ES,36,61,,False
15K423,Brooklyn Frontiers High School,HST,16,100,74.0,False
15K429,Brooklyn School for Global Studies,MS/HS,14,90,75.0,True
15K442,New Horizons School,MS,39,56,89.0,True
15K443,New Voices School of Academic & Creative Arts,MS,48,79,95.0,False
15K447,The Math & Science Exploratory School,MS,56,100,99.0,False
15K448,Brooklyn Secondary School for Collaborative Studies,MS/HS,33,68,88.0,True
15K462,Secondary School for Law,MS/HS,43,97,90.0,True
15K463,Secondary School for Journalism,MS/HS,9,87,75.0,True
15K464,Park Slope Collegiate,MS/HS,20,81,72.0,True
15K497,School for International Studies,MS/HS,7,78,62.0,True
15K519,Cobble Hill School of American Studies,HS,37,90,46.0,False
15K529,West Brooklyn Community High School,HST,39,100,73.0,False
15K530,Metropolitan Corporate Academy High School,HS,42,75,70.0,True
15K592,Khalil Gibran International Academy,MS/HS,73,100,97.0,False
15K656,Brooklyn High School of the Arts,HS,19,86,90.0,True
15K667,SUNSET PARK HIGH SCHOOL,HS,22,94,85.0,False
15K676,RED HOOK NEIGHBORHOOD SCHOOL,ES,36,77,,False
15K684,Millennium Brooklyn HS,HS,39,100,96.0,False
15K698,South Brooklyn Community High School,HST,14,82,65.0,False
15K821,Sunset Park Prep,MS,32,87,92.0,True
16K005,P.S. 005 Dr. Ronald Mcnair,ES,67,67,,True
16K021,P.S. 021 Crispus Attucks,ES,91,95,,False
16K025,P.S. 025 Eubie Blake School,ES,60,97,,True
16K026,P.S. 026 Jesse Owens,ES,68,95,,False
16K028,P.S. 028 The Warren Prep Academy,ES,65,91,,True
16K035,M.S. 035 Stephen Decatur,MS,97,100,100.0,False
16K040,P.S. 040 George W. Carver,ES,71,100,,False
16K057,J.H.S. 057 Whitelaw Reid,MS,59,95,81.0,False
16K081,P.S. 081 Thaddeus Stevens,ES,44,100,,False
16K243,P.S. 243K- The Weeksville School,ES,28,88,,True
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,ES/MS,48,54,92.0,False
16K267,"M.S. 267 Math, Science & Technology",MS,43,90,96.0,False
16K308,P.S. 308 Clara Cardwell,ES/MS,37,95,98.0,True
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,ES,49,91,,False
16K335,P.S. 335 Granville T. Woods,ES,60,92,,True
16K385,"School of Business, Finance and Entrepreneurship",MS,86,88,96.0,True
16K393,Frederick Douglass Academy IV Secondary School,MS/HS,17,96,77.0,True
16K455,Boys and Girls High School,HS,14,71,35.0,False
16K498,Brooklyn High School for Law and Technology,HS,37,56,58.0,True
16K534,Upper School @ P.S. 25,MS,40,90,90.0,True
16K584,M.S. 584,MS,36,95,91.0,False
16K594,Gotham Professional Arts Academy,HS,23,87,88.0,False
16K627,Brighter Choice Community School,ES,100,100,,False
16K628,Brooklyn Brownstone School,ES,100,100,,False
16K636,Young Scholars' Academy for Discovery and Exploration,ES,100,100,,False
16K681,Madiba Prep Middle School,MS,69,100,96.0,False
16K688,The Brooklyn Academy of Global Finance,HS,27,100,69.0,True
16K959,BOYS AND GIRLS YABC,YABC,3,58,25.0,False
17K002,Parkside Preparatory Academy,MS,17,61,92.0,True
17K006,P.S. 006,ES,19,42,,False
17K012,Dr. Jacqueline Peek-Davis School,ES,56,79,,True
17K022,P.S. 022,ES,46,62,,True
17K061,M.S. 061 Dr. Gladstone H. Atwell,MS,41,76,93.0,True
17K091,P.S. 091 The Albany Avenue School,ES,80,98,,True
17K092,P.S. 092 Adrian Hegeman,ES,36,93,,False
17K122,Pathways in Technology Early College High School (P-Tech),HS,29,100,83.0,False
17K138,P.S. 138 Brooklyn,ES/MS,56,69,90.0,False
17K161,P.S. 161 The Crown,ES/MS,63,63,91.0,True
17K167,P.S. 167 The Parkway,ES,36,38,,True
17K181,P.S. 181 Brooklyn,ES/MS,37,61,88.0,True
17K189,P.S. 189/ The Bilingual Center,ES/MS,63,94,97.0,True
17K191,P.S. 191 Paul Robeson,ES,69,100,,True
17K221,P.S. 221 Toussaint L'Ouverture,ES,63,87,,False
17K241,P.S. 241 Emma L. Johnston,ES,66,74,,True
17K246,M.S. 246 Walt Whitman,MS,41,82,97.0,True
17K249,P.S. 249 The Caton,ES,93,98,,False
17K289,P.S. 289 George V. Brower,ES,46,64,,True
17K316,P.S. 316 Elijah Stroud,ES,75,96,,False
17K334,Middle School for Academic and Social Excellence,MS,14,88,90.0,True
17K340,I.S. 340,MS,48,71,99.0,True
17K352,Ebbets Field Middle School,MS,73,97,93.0,True
17K353,Elijah Stroud Middle School,MS,74,88,93.0,False
17K354,The School of Integrated Learning,MS,84,100,97.0,False
17K375,P.S. 375 Jackie Robinson School,ES,78,93,,False
17K382,Academy for College Preparation and Career Exploration: A College Board School,MS/HS,8,79,87.0,True
17K394,M.S. K394,ES/MS,59,82,96.0,False
17K397,P.S. 397 Foster-Laurie,ES,72,97,,False
17K398,P.S. 398 Walter Weaver,ES,77,88,,False
17K399,P.S. 399 Stanley Eugene Clark,ES,35,76,,False
17K408,Academy of Hospitality and Tourism,HS,26,72,84.0,True
17K467,Erasmus Yabc,YABC,77,100,84.0,False
17K484,Ronald Edmonds Learning Center II,MS,14,92,96.0,True
17K489,W.E.B. Dubois Academic High School,HST,30,100,75.0,False
17K524,International High School at Prospect Heights,HS,41,100,85.0,False
17K528,The High School for Global Citizenship,HS,37,95,57.0,True
17K531,"School for Human Rights, The",MS/HS,59,100,97.0,False
17K533,School for Democracy and Leadership,MS/HS,61,100,93.0,True
17K537,High School for Youth and Community Development at Erasmus,HS,48,91,85.0,True
17K539,High School for Service & Learning at Erasmus,HS,26,96,76.0,True
17K543,"Science, Technology and Research Early College High School at Erasmus",MS/HS,96,72,91.0,False
17K544,International Arts Business School,HS,5,90,78.0,True
17K546,High School for Public Service: Heroes of Tomorrow,HS,27,88,90.0,False
17K547,Brooklyn Academy of Science and the Environment,HS,24,94,85.0,True
